"district","city","province","postal_code"
"DELIMA","PIDIE","ACEH","24162"
"TRIENGGADENG","PIDIE JAYA","ACEH","24185"
"SIMPANG KIRI","SUBULUSSALAM","ACEH","24782"
"DARUL HASANAH","ACEH TENGGARA","ACEH","24653"
"TERIPE / TRIPE JAYA","GAYO LUES","ACEH","24656"
"KOTA BAHARU","ACEH SINGKIL","ACEH","24784"
"PENANGGALAN","SUBULUSSALAM","ACEH","24782"
"ULEE KARENG","BANDA ACEH","ACEH","23117"
"SIMPANG KANAN","ACEH SINGKIL","ACEH","24783"
"BABUL MAKMUR","ACEH TENGGARA","ACEH","24673"
"SUKAJAYA","SABANG","ACEH","23523"
"LEMBAH SABIL","ACEH BARAT DAYA","ACEH","23762"
"TRUMON TENGAH","ACEH SELATAN","ACEH","23774"
"SUKAJAYA","SABANG","ACEH","23522"
"BLANK BINTANG","ACEH BESAR","ACEH","23372"
"LUENG BATA","BANDA ACEH","ACEH","23246"
"MUARA BATU","ACEH UTARA","ACEH","24355"
"MUARA TIGA","PIDIE","ACEH","24152"
"KOTA JANTHO","ACEH BESAR","ACEH","23918"
"BAKONGAN","ACEH SELATAN","ACEH","23773"
"LEUPUNG","ACEH BESAR","ACEH","23353"
"SIMEULEU TENGAH","SIMEULUE","ACEH","23894"
"JOHAN PAHLAWAN","ACEH BARAT","ACEH","23617"
"SUNGAI MAS","ACEH BARAT","ACEH","23681"
"PINING (PINDING)","GAYO LUES","ACEH","24655"
"JAYA BARU","BANDA ACEH","ACEH","23236"
"JOHAN PAHLAWAN","ACEH BARAT","ACEH","23611"
"NISAM ANTARA","ACEH UTARA","ACEH","24376"
"TANAH LUAS","ACEH UTARA","ACEH","24386"
"SETIA BAKTI","ACEH JAYA","ACEH","23655"
"LANGSA KOTA","LANGSA","ACEH","24416"
"KUTA RAJA","BANDA ACEH","ACEH","23128"
"SUNGAI MAS","ACEH BARAT","ACEH","23683"
"BANDA RAYA","BANDA ACEH","ACEH","23239"
"JAYA BARU","BANDA ACEH","ACEH","23241"
"LAPANG","ACEH UTARA","ACEH","24391"
"KRUENG BARONA JAYA","ACEH BESAR","ACEH","23371"
"KEMBANG TANJONG (TANJUNG)","PIDIE","ACEH","24167"
"SINGKIL UTARA","ACEH SINGKIL","ACEH","24785"
"BABUSSALAM","ACEH TENGGARA","ACEH","24671"
"PUTRI BETUNG","GAYO LUES","ACEH","24655"
"DELENG POKHISEN","ACEH TENGGARA","ACEH","24652"
"PANTERAJA","PIDIE JAYA","ACEH","24185"
"TAPAK TUAN","ACEH SELATAN","ACEH","23717"
"TAPAK TUAN","ACEH SELATAN","ACEH","23714"
"SUKAKARYA","SABANG","ACEH","23518"
"TRUMON","ACEH SELATAN","ACEH","23774"
"SUKAJAYA","SABANG","ACEH","23521"
"PASIE RAJA","ACEH SELATAN","ACEH","23755"
"ULEE KARENG","BANDA ACEH","ACEH","23119"
"SUKAJAYA","SABANG","ACEH","23526"
"KOTA JANTHO","ACEH BESAR","ACEH","23915"
"TAPAK TUAN","ACEH SELATAN","ACEH","23716"
"TANAH ALAS","ACEH TENGGARA","ACEH","24673"
"KOTA JANTHO","ACEH BESAR","ACEH","23912"
"SYIAH KUALA","BANDA ACEH","ACEH","23114"
"KEBAYAKAN","ACEH TENGAH","ACEH","24518"
"KOTA SIGLI","PIDIE","ACEH","24115"
"BAITURRAHMAN","BANDA ACEH","ACEH","23242"
"BAKONGAN TIMUR","ACEH SELATAN","ACEH","23773"
"SEMADAM","ACEH TENGGARA","ACEH","24678"
"BANDA SAKTI","LHOKSEUMAWE","ACEH","24315"
"KUALA BARU","ACEH SINGKIL","ACEH","24784"
"LUT TAWAR","ACEH TENGAH","ACEH","24515"
"KUTA RAJA","BANDA ACEH","ACEH","23129"
"SUKAJAYA","SABANG","ACEH","23528"
"IDI TIMUR","ACEH TIMUR","ACEH","24456"
"SINGKIL","ACEH SINGKIL","ACEH","24785"
"SYIAH KUALA","BANDA ACEH","ACEH","23111"
"SUKAKARYA","SABANG","ACEH","23511"
"KUTA ALAM","BANDA ACEH","ACEH","23125"
"SUKAKARYA","SABANG","ACEH","23512"
"SUKAKARYA","SABANG","ACEH","23513"
"TRUMON TIMUR","ACEH SELATAN","ACEH","23776"
"SUKAKARYA","SABANG","ACEH","23515"
"LANGSA BARAT","LANGSA","ACEH","24410"
"KUTA ALAM","BANDA ACEH","ACEH","23121"
"JOHAN PAHLAWAN","ACEH BARAT","ACEH","23614"
"SINGKOHOR","ACEH SINGKIL","ACEH","24784"
"ALAPAN (ALAFAN)","SIMEULUE","ACEH","23893"
"KUTA ALAM","BANDA ACEH","ACEH","23122"
"BANDA RAYA","BANDA ACEH","ACEH","23238"
"LUENG BATA","BANDA ACEH","ACEH","23244"
"LEMBAH SEULAWAH","ACEH BESAR","ACEH","23952"
"KUTA ALAM","BANDA ACEH","ACEH","23127"
"ULEE KARENG","BANDA ACEH","ACEH","23118"
"SYIAH KUALA","BANDA ACEH","ACEH","23115"
"MEURAXA","BANDA ACEH","ACEH","23231"
"KUTA RAJA","BANDA ACEH","ACEH","23231"
"LHOKNGA (LHO\NGA)","ACEH BESAR","ACEH","23354"
"LUENG BATA","BANDA ACEH","ACEH","23247"
"KOTA COT GLIE (KUTA COT GLIE)","ACEH BESAR","ACEH","23372"
"JAYA BARU","BANDA ACEH","ACEH","23230"
"BAMBEL","ACEH TENGGARA","ACEH","24651"
"LANGSA BARAT","LANGSA","ACEH","24415"
